nombre,productos,precio,descripcion,imagen
☕🌙 Kit Café Luno,"""ter-tin
"",""HM-028
"",""ACC 003
""",30,"Sabor, calidez y estilo para comenzar el día.
El Kit Café Luno es la combinación perfecta para quienes disfrutan del ritual del café con calma y calidad. Ideal como obsequio para colaboradores, clientes o amantes del café, este set ofrece una experiencia práctica y elegante desde la preparación hasta el último sorbo.
Incluye:
Prensa Francesa
Termo Luno","""ChatGPT Image 9 may 2025, 09_32_07 a.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/CTnERmKGhbovzUOHX7Vf7A/rbY5P7aZM2OvuTVWmY9lxCA16V7afMcJdX6XUUeHSC66KWvVyLIWQKDsvw98n1hJfIodvC2UX1-qSUMmu319aaADznVxlIRMroejtbu3XwvsPhoOPoT9qtm3U5cIQAvOsO_dK6ig03vUp8QdWLebT-NEz-RV1ByW1ROTDJ_l4dnZOGOxRDQ8shsNsYMhNuhp/zFpUvax5inHHM4LRN8bd6w7botEAzcoualZCjgegLfE)"""
🍷👜 Kit Reserva,"Vinos-esp,PORVIN,ACC 003",30,"Un detalle con carácter, para brindar con intención.
El Kit Reserva es la expresión perfecta de sofisticación y buen gusto. Diseñado para celebraciones especiales, obsequios ejecutivos o momentos memorables, este set reúne calidad, elegancia y un toque artesanal en una presentación que habla por sí sola.
Incluye:
Vino “Especial”
Porta Botella de Cuero","""ChatGPT Image 28 abr 2025, 09_51_02 a.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/4xd1GXjdGpSw4QcSH_J4Jg/cArAccLE1FrxvrxAecQdqAol3YpMWxlkp_PbC7Z4SXaXiV1bV5MA4K5ueLIS9RLoP9jxzqh6Na8kcNh_Mh1AQG3cFdPDaqRoGipA5N63wh06izvkQqlo-sSJj82b58CqXEo0PC9scXX_TgLEbbZLIHONKLhmOqGCIWI_3KpYJndCTRGm6Qg3dl--wAzmWeWC/7vt_gCOGVS8rOanwlAdnriwA5xNIi3A-C0jzp7UykOQ)"""
🖥️🎵 Kit Executive Desk,"ORGCUE,DESK PAD CUERO,SO 135,""ACC 003
""",100,"Orden, estilo y tecnología para transformar tu espacio de trabajo.
El Kit Executive Desk está diseñado para quienes buscan funcionalidad, elegancia y un ambiente dinámico en su espacio de trabajo. Perfecto para oficinas modernas, home office o como obsequio institucional de alto impacto, este set combina estética premium con conectividad y organización.
Incluye:
Organizador de Cuero
Desk Pad de Cuero
Bocina Bluetooth Portátil con Soporte para Celular","""ChatGPT Image 28 abr 2025, 10_04_21 a.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/XAcom_HGNVcDE-xS8W1m8w/hcyW4XBMDpmhy9IhqsMYBGQfDxn7zHiRxwEN9z67hVodaDnWgudokUQmUNQQhFynGgJgW8X253mR1cF6cCPpzuo89zr0tX-mnCv0qtZu6pQYVDW4cXZNf3TcgkdBFa5e3z99V3riu1gAD-93YsseSailGI2WIE9rHMkR-fmW3x0RyQDxHlGGTG06AhWXInBu/cxO52KjMqqBhV8fRSChuKLwBCnCmIcIaMwEutzqyzzs)"""
🧳🧼 Kit Leather Journey,"PORT-LENT,Nec-tra,""Porta-doc
"",PORTA-LAP,""ACC 003
""",100,"Estilo, protección y distinción para cada trayecto.
El Kit Leather Journey está diseñado para quienes valoran la calidad en cada detalle y buscan viajar con organización, elegancia y funcionalidad. Confeccionado en cuero de alta calidad, este set es el compañero ideal para ejecutivos, socios estratégicos o amantes del diseño clásico y duradero.
Incluye:
Porta Lentes de Cuero
Neceser de Cuero
Porta Pasaporte de Cuero
Porta Laptop de Cuero","""ChatGPT Image 28 abr 2025, 10_10_36 a.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/tnah5eVFOR4YLzEYh-zcGA/EsTRh1qjMa_yogdlgREXpYDN-LPyzyTPLyK7V4D70iIjOV-pR7M0gLxp64M9iHuhK1SnDD_5CEHKUo0sWCDcU7EvVWmvv4mNlu3_qMH0ILOkcmsFeGL0ksxe_fmW9Llb3opaltCStEBA0RaGzfsZt8NnEdwZ_vU1nSn9z95c8-D5lLLlcsq8OagLucCj6I-T/i6GnQ2qiPQOR-stVar_DOl_WvnjL_D71SOb0lJbdgrw)"""
⛳🍷 Kit Golf & Cheers,"""GLF 012
"",""A2963
"",""A3014
"",SIN 210",30,"Pasión por el golf, gusto por los buenos momentos.
El Kit Golf & Cheers está diseñado para quienes combinan su afición por el deporte con el disfrute de experiencias refinadas. Perfecto como regalo ejecutivo, obsequio en torneos o detalle premium, este set reúne funcionalidad en el campo y estilo en cada brindis.
Incluye:
Set de Golf Compacto
Termo Golf
Set de Herramientas para Vino con Diseño de Accesorios de Golf
Bolsa Cotton Slim","""ChatGPT Image 28 abr 2025, 10_17_31 a.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/6oOikENA8dc38pp25qCQ6g/6QqmzVRbemsn-ZhWVQXivM0QtyKLYl27MT46oHw5-SVcODi__yKKRZ0tlBDE-eMQobh4yeQnM2iuzcIto8cXvikDxPWBRMbZ_s1ACFVoDsq0Xwx4eLIgPdVDQG0iD_joCuFBlSuRDXjb3rNEV_Jewg8Lq01hR9GNTKNBib9Ye8TvlgfJJxclT_BsVu6CyE9I/DJynCSMlsFP6y5XmQqU0AQQD3A0lBrImfOIqpRLDKPM)"""
🖊️☕ Kit Notas & Calor,"""RQ 1007
"",""TMPS 196 
"",""lib-skd 
"",""ACC 003
""",30,"Escritura precisa y momentos que reconfortan.
El Kit Notas & Calor es una combinación sutil de practicidad y estilo. Perfecto para profesionales, clientes o eventos ejecutivos, este set ofrece herramientas que acompañan la productividad diaria con un toque de distinción.
Incluye:
Bolígrafo BlackNote
Termo Late","""ChatGPT Image 28 abr 2025, 10_24_56 a.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/Pqhul7IJKmHshVGlDHIMYQ/eohU8jWNIFnovucVWNvpYK9gMwY2A4wLKleQlfWTvJgkevV5Z_otTnp5wXh9jbWJmN-txSqd6fhi6x1c7-I26yUx_KhyNmdSGNvywnjNBQN_TeynJn1z1BVZSJW63Pp676r2i9c7WPj82epnzpCjsCtFOTPNOrqyrJhcDs8EQTZSpa73YIuUzUsKOQxocOi-/4Aj4LPu7HgfW5JX2O4M8sYzEtsWUEU_85OEG7neY4Bk)"""
🍸🖤 Kit Noir & Tonic,"""BAR 016
"",GIN. HENDRICKS .750 ML.,SIN 210",30,"Estilo, sabor y carácter en cada preparación.
El Kit Noir & Tonic está pensado para quienes aprecian el arte de la mixología y disfrutan crear momentos memorables con un toque de distinción. Perfecto como regalo gourmet, obsequio corporativo premium o detalle especial para celebraciones, este set reúne lo esencial para disfrutar del gin como se debe: con elegancia y personalidad.
Incluye:
Set de Mixología Noir
Botella de Gin Hendrick’s 750 ml
Bolsa Cotton Slim","""ChatGPT Image 28 abr 2025, 10_30_00 a.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/W4hvbOze_bOQwlUHbdcV4Q/oJVN4KSdsFl1HZ_HTNeO1yPdMvdKz7ZRDHqzKWQfi4MiE_5pj2r9FCVISRitGifunQXjfMgp2jm90Lum55mJv-AvGvJJ_dKMbDOgjm6q3Q-wSWF0_UTiMf2r3-nEd5JO948ReArlUO1HAEUki-UKSwrOX6CD7xgVCzYuvV9wwce2IfylFZ03U7m1DFoAgwhG/ghS9YtGGRN-pSHTwOQL2aTfjTfqvXZLdVIPX8euR_0I)"""
⌚☕ Kit Eleganza,"ORGRELO,""ter-tin
"",""ACC 003
""",30,"Estilo y sofisticación en cada detalle.
El Kit Eleganza es la elección perfecta para quienes valoran la organización, el diseño refinado y los momentos bien cuidados. Ideal para ejecutivos, amantes de los accesorios o como regalo institucional de alto nivel, este set combina utilidad y distinción en un formato compacto pero memorable.
Incluye:
Estuche Organizador de Relojes
Termo Luno","""ChatGPT Image 28 abr 2025, 10_40_27 a.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/VGieucwF1kSSWn_KcSyjWg/_yTkd45C_AbmojNKOhfUBiC2QdeabpurzuLlPe_AQeVB3t-k5SAN98ljGSax446jIwyOIqPfJPyqaB3L1_bzamuKZW6N0ljjN5zPaxQ6_SRNg58i3FTNYU-lOgQTPtOnC9B4Dl9sKSdGVsdPFNhEr74IALpoYI6H_L1dOlkD5P-Gy38GSmj-KGAEf-0rRH33/eQQeyzmyapDmb4zkRrbv9nUHv67sfGrvD12xNV3xx_4)"""
🧊🍻 Kit Chill Out,"SIN 508,BAR 034,""TMPS 196 
""",30,"Todo lo que necesitas para disfrutar sin complicaciones.
El Kit Chill Out está pensado para momentos de relajación y convivencia. Ideal para fines de semana, reuniones entre amigos o escapadas, este set ofrece practicidad, diseño y funcionalidad para mantener el ambiente siempre fresco.
Incluye:
Hielera Dovia
Destapador Titán
Termo Late","""ChatGPT Image 28 abr 2025, 10_50_18 a.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/zLXwJk0sCg_HHSiftDRaZQ/n9-gMC5bhJxIID0MDB3Ds2cKelfu_gHC3QW3DKxa3RYqK61OJFP4iN6TgppopdWxAzyMhvKVgeR_vAhUGZIC1DqL4ELcx4MgA1fogZN8uTVaSnOQqAqoKyLTqIttrRyxDN5V1pzFIJcHDcXYUg86IxQHrBJVM-UUwzC7RpSRfOXCiBWZMppFOi65FDWfstB7/zKE37q5smkmO4gbGVfQ8nsV8zJbw4tYW58c6MM8eUAA)"""
🔥🍖 Kit Grill Master,"""MANDIL-PARRILLERO
"",HM-036,BBQ 025,SIN 210",100,"Todo lo que necesita un experto para encender el sabor.
El Kit Grill Master fue diseñado para quienes disfrutan del arte de asar con pasión y estilo. Ya sea para una carne asada de fin de semana, un evento al aire libre o una experiencia culinaria especial, este set reúne los elementos esenciales para convertirse en el rey o reina de la parrilla.
Incluye:
Mandil Parrillero Profesional
Set de BBQ Leeds
Iniciador de Carbón Tyra
Bolsa Cotton Slim","""ChatGPT Image 28 abr 2025, 11_23_12 a.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/NOTp12rdjcsECf8wzCpDog/z1uCKNEnHpJpv-HmMDN_APZSC3bNGhZtfu5Ud0zAusnr27XmB06Sjk8nSFL66L8IN0TwlF_dn95Kw7K86zjWP8CzDeJw_Xx0gy8KbNjGvFG6WGkjcxY05qPVckNYWcCMufal7KB_bl3nKuQ9w-YJySy9oMFV1mds3RXygo1BqRYpIl-zbwfZmLMH4HxM3GH_/8sYpV7O7ICWxFNWqPMzo9MpiSBpPNebfH7Wp4LaPVD0)"""
