sku,precio,categorias,nombre,descripcion,medidas,imagenes_url
PS22706-TL 035,$444.00 ,Entretenimiento,CORNHOLE,Juego (Cornhole) de lanzamiento con 4 costales.,90.3cm x 59.8cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS22705-TL 034,$426.09 ,Outdoor,IGUAZÚ,Silla portátil plegable de metal con asiento y respaldo de poliéster. Incluye funda de cierre con asa.,87cm x 56cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS22704-TL 033,$64.78 ,Fitness,SQUAT,Porta toalla de silicón negro con toalla fría gris y gancho metálico. Ideal para gimnasio. Medida de la toalla 39 x 39 cm,6.5cm x 4.5cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS28087-ACC 003,$156.24 ,Cajas,CAJA DE REGALO GRANDE,Caja de cartón rígido para set de regalo. Cierre con solapa imantada.,31 x 25 x 9.7 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS29349-THE RIVER,$337.50 ,Termos,FROC,"Termo con doble pared de acero inoxidable insulado al vacio, base antiderrapante, tapa hermética con coladera metálica y mecanismo de apertura y cerrado facil.",28 x 8 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS28642-SOC 011-09-,$10.50 ,Antiestrés,CORAZóN ANTI-STRESS,Antiestrés con figura de corazón.,7.3 x 6.7 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS28605-AGD 025,$118.13 ,Agendas,AGENDA DIARIA CLáSICA,"Agenda diaria con 186 hojas. Contiene datos personales, calendarios 2024-2025-2026, planeador 2025, presupuesto de gastos, seguimiento de nuevos hábitos, organizador de tareas, planeador de proyecto y días festivos. Incluye caja individual.",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS28595-AGE 025,$113.75 ,Agendas,AGENDA EJECUTIVA CLáSICA 2025,"Agenda semanal con 80 hojas. Contiene datos personales, calendarios 2024-2025-2026, planeador 2025, presupuesto de gastos, seguimiento de nuevos hábitos, organizador de tareas, planeador de proyecto y días festivos. Incluye caja individua",20.5 x 23.5 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS28596-AGT 025,$124.38 ,Agendas,AGENDA DIARIA TERRA,"Agenda diaria con 186 hojas. Contiene datos personales, calendarios 2024-2025-2026, planeador 2025, seguimiento de nuevos hábitos, organizador de tareas y planeador de proyecto y días festivos. Incluye caja individual.",14 x 21 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS28436-BL 218,$407.16 ,Mochilas,KALAW,"Mochila con 3 compartimentos, 1 compartimento principal con porta laptop, entrada lateral de batería portátil, organizador interno, 2 bolsas laterales, respaldo acolchado, carry on, tirantes y asa superior.",43 x 30 x 12.6 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS28423-BL 243,$39.38 ,Bolsas,RISHI,"Bolsa de yute laminada, cosida y con asa de manta para pecho.",35.5 x 30.5 x 13.5 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS28256-LE 041,$26.25 ,Libretas,ALCOR,"Libreta de corcho con espiral, bolígrafo y 70 hojas de raya.",17.8 x 12.7 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS28240-SO 127,$355.87 ,Cargadores,VALO,"Power Bank de corcho con wireless charger de 10,000 mAh, 2 entradas USB y 1 tipo C.",14.7 x 7 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS27746-KTC 607,$62.97 ,Loncheras,PORTAVIANDAS MAKAN,"Lonchera de plástico que presenta un toque natural y elegante con su tapa de bambú, la cual se asegura con dos broches de plástico para mantener la lonchera cerrada. En su interior, encontrarás un práctico tenedor y un pequeño contenedor destinado para salsas, aderezos o especias. Esta lonchera no solo ofrece un diseño atractivo, sino también la versatilidad necesaria para llevar tus alimentos de manera organizada.",20 x 11 x 7.6 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS27737-ANF 075,$27.98 ,"Bebidas,Cilindros",CILINDRO LEMN,Cilindro de plástico con tapa de bambú. Sistema de rosca twist-off que permite abrir y cerrar la tapa en un giro. No exponer el cilindro a temperaturas mayores a 40 °C durante su almacenamiento y transformación. Mantener en su empaque individual antes y después de su transformación. No apto para bebidas calientes. No introducir en microondas.,7 x 18.9 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS27740-USB 220,$112.35 ,Usb,USB STORAGE 16 GB,Se enciende LED de color al conectar. Incluye caja individual.,2 x 6.6 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS27721-SIN 841,$150.61 ,Loncheras,LONCHERA KIREAN NEGRO,"Lonchera con un compartimento principal espacioso y una bolsa frontal adicional, ofrece amplio espacio para alimentos y snacks. Los cierres con puller ergonómico y resistente facilitan su apertura y cierre, mientras que la base antiderrapante, proporciona estabilidad en superficies planas. Sus asas de mano, brindan comodidad al transportarlas y los materiales resistentes aseguran su portabilidad a cualquier lugar.",24.5 x 17 x 13 cm ,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS27148-KTC 606,$70.74 ,Cocina,SET DE UTENSILIOS AVIVA,"Juego de 3 utensilios de bambú para cocinar. Incluye cuchara, pala, volteador y una base cilíndrica. La madera es un producto natural el cual puede presentar variaciones en tonalidades y vetas.",,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS22221-HL 9088,$42.78 ,Libretas,Libreta Pedra,"Libreta con 80 hojas de raya. Las hojas interiores están fabricadas a base de piedra natural. Este papel es resistente al agua, al desgarro y a las manchas. Incluye elástico y listón separador.",14.5 x 21 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS22473-BL 145,$207.94 ,Mochilas,ATENAS,"Mochila con 4 compartimentos, 1 compartimento principal con apartado para laptop de 19"", 3 compartimentos frontales y 2 bolsas de malla laterales.",48.5cm x 32.5cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS12505-CA 006,$22.03 ,"Tech,Todo tech,Oficina,Acc.Oficina",ALBERT,Calculadora de bolsillo.,6cm x 9cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS17536-CRG 043,$292.90 ,"Accesorios,Tech,Todo tech",POWER BANK ESTOCOLMO,"Batería auxiliar para smartphone, capacidad 10,000 mAh. Contiene 2 puertos USB, 1 tipo C y 1 micro USB. Incluye 4 LEDs indicadores de carga y cable micro USB.",6.8 x 13.7 x 1.5 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS17564-MOP 018,$64.57 ,Accesorios,MOUSE PAD LOEN,Incluye cojín de gel para descansar la muñeca. Base antiderrapante.,18 x 21 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS26308-SH 5000,$3.23 ,Bolígrafos,Boligrafo YAZI,Bolígrafo en colores pastel. Grip de silicón antiderrapante. Mecanismo pulsador.,1.1 x 14.5 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
PS3458-Z 1170,$169.10 ,"Audio,Tech,Todo tech",Magic,Bocina bluetooth con batería recargable. Reproducción de música 3 hrs aproximadamente. Incluye base con soporte plegable para celular y cable cargador USB.,8 x 4 cm,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSW3tAQdXc206BHfHPikuUwWu_Rn_bnqOFtDw&s
